cusnbr,ordqty_norm,shipqty_norm,unit_fill_rate_pct
1069110,36218.0,34848.0,96.21735048870727
3200004,53.0,51.0,96.22641509433963
16305,346.0,333.0,96.24277456647398
1068032,85094.0,81915.0,96.26413143112323
614396,268917.0,258938.0,96.28918960125243
917474,38592.0,37168.0,96.3101160862355
1066026,163.0,157.0,96.31901840490798
1030424,2060.0,1985.0,96.35922330097087
917639,213209.0,205475.0,96.37257339042911
917289,993.0,957.0,96.37462235649546
9000038,636.0,613.0,96.38364779874213
7001227,111.0,107.0,96.3963963963964
1070299,49183.0,47419.0,96.41339487221194
1057563,308.0,297.0,96.42857142857143
56924,309.0,298.0,96.44012944983818
123456,258.0,249.0,96.51162790697674
1065309,6905.0,6666.0,96.53874004344678
179662,3933.0,3797.0,96.54207983727434
1067595,1338047.0,1292220.0,96.57508293804328
1068237,71430.0,69075.0,96.70306593868122
856180,6507.0,6295.0,96.74197018595359
895932,2760.0,2673.0,96.84782608695652
634028,31894.0,30895.0,96.8677494199536
1051335,384.0,372.0,96.875
666004,548.0,531.0,96.89781021897811
917183,97.0,94.0,96.90721649484536
1025668,97.0,94.0,96.90721649484536
9000023,70953.0,68832.0,97.01069722210477
1068464,922143.0,894659.0,97.01955119759083
863424,7464.0,7249.0,97.11950696677384
1050598,244.0,237.0,97.1311475409836
1059885,35.0,34.0,97.14285714285714
1050908,6474.0,6293.0,97.20420142106889
919665,5726.0,5568.0,97.24065665385959
146897,5164.0,5022.0,97.25019364833463
7000265,220.0,214.0,97.27272727272727
1050501,74.0,72.0,97.29729729729729
2273600,37.0,36.0,97.29729729729729
903112,9683.0,9423.0,97.31488175152329
1049812,1090.0,1062.0,97.43119266055047
7000722,39.0,38.0,97.43589743589743
1050385,12196.0,11886.0,97.45818301082322
1049140,512.0,499.0,97.4609375
917468,1232.0,1201.0,97.48376623376623
1067643,11554.0,11268.0,97.52466678206682
1068514,648.0,632.0,97.53086419753086
1024684,9228.0,9001.0,97.54009536194192
1046562,123.0,120.0,97.5609756097561
1066507,248.0,242.0,97.58064516129032
1047141,14125.0,13785.0,97.59292035398231
