item,ordqty_norm,shipqty_norm,unit_fill_rate_pct
MAS00965       ,20.0,0.0,0.0
BLDCD9602K     ,1.0,0.0,0.0
NES30100       ,16.0,0.0,0.0
NIB751013848788,20.0,0.0,0.0
NIB751013862265,20.0,0.0,0.0
MAS00205       ,5.0,0.0,0.0
MACMS6424      ,4.0,0.0,0.0
NIB704514421631,16.0,0.0,0.0
NIB751001153250,60.0,0.0,0.0
NIB751002815234,24.0,0.0,0.0
NIB751005436792,7.0,0.0,0.0
NIB751012034708,175.0,0.0,0.0
AAGE712-50-04  ,8.0,0.0,0.0
AAGE717-50-04  ,331.0,0.0,0.0
AAGE919-50     ,90.0,0.0,0.0
AAGG100-00     ,5.0,0.0,0.0
XER3R721       ,11.0,0.0,0.0
XER6R112       ,3.0,0.0,0.0
NIB752009041265,9.0,0.0,0.0
NIB752009041268,7.0,0.0,0.0
NIB752009731059,48.0,0.0,0.0
MACMR121210    ,1.0,0.0,0.0
MACMR404-16    ,86.0,0.0,0.0
MACMR404-A1    ,146.0,0.0,0.0
NIB752014244848,1.0,0.0,0.0
NIB752014244856,9.0,0.0,0.0
BLDCHV9600     ,1.0,0.0,0.0
NIB752014512271,26.0,0.0,0.0
MACML2000      ,2.0,0.0,0.0
NIB751014255703,1.0,0.0,0.0
NIB751014519176,5.0,0.0,0.0
NIB751014838892,5.0,0.0,0.0
NIB751015104859,131.0,0.0,0.0
NIB751015104866,82.0,0.0,0.0
NIB751015107492,35.0,0.0,0.0
AAGG1000-17    ,2.0,0.0,0.0
AAGG1018-17    ,1.0,0.0,0.0
AAGG210-14,23.0,0.0,0.0
AAGG232-00     ,30.0,0.0,0.0
AAGG235-00     ,8.0,0.0,0.0
XER3R4160      ,1.0,0.0,0.0
MACML-FF30     ,1.0,0.0,0.0
NIB752011660682,4.0,0.0,0.0
AAGG235-53     ,1.0,0.0,0.0
AAGG440-00     ,3.0,0.0,0.0
AAGG450-00     ,3.0,0.0,0.0
AAGG470-00     ,5.0,0.0,0.0
NIB753002910098,33.0,0.0,0.0
NIB753009594441,76.0,0.0,0.0
NIB753009908884,1220.0,0.0,0.0
NIB75300NIB0548,232.0,0.0,0.0
NIB75300NIB0558,9.0,0.0,0.0
MACML-1400     ,3.0,0.0,0.0
NIB753013723108,19.0,0.0,0.0
NIB753013723109,1.0,0.0,0.0
NIB752014612663,29.0,0.0,0.0
NIB752014613779,4.0,0.0,0.0
LZBL92164FORM,2.0,0.0,0.0
LZBLG92252BEB,2.0,0.0,0.0
LZBLG92252BGB,1.0,0.0,0.0
LZBLG92252BIB,1.0,0.0,0.0
LZBLG92253BGB,2.0,0.0,0.0
LZBLG92253BHB,3.0,0.0,0.0
BLDCTO8100     ,1.0,0.0,0.0
AAGG480-00     ,10.0,0.0,0.0
AAGG520-00     ,1.0,0.0,0.0
AAGG545-00     ,7.0,0.0,0.0
AAGG545-14     ,3.0,0.0,0.0
AAGG545-70     ,8.0,0.0,0.0
AAGG547-00     ,8.0,0.0,0.0
XER3R12132     ,8.0,0.0,0.0
LXLL462BK      ,7.0,0.0,0.0
LXLL516MB      ,2.0,0.0,0.0
LXLL562CH      ,3.0,0.0,0.0
LXLL658FR      ,8.0,0.0,0.0
XER3R12139     ,1.0,0.0,0.0
XER3R2641      ,6.0,0.0,0.0
AAGG560-00     ,1.0,0.0,0.0
AAGG595-00     ,3.0,0.0,0.0
AAGGG2500-00   ,4.0,0.0,0.0
AAGH212-50     ,3.0,0.0,0.0
NIB753014547392,2.0,0.0,0.0
NIB753014838889,62.0,0.0,0.0
NIB753014839999,5.0,0.0,0.0
NIB792009651709,4.0,0.0,0.0
BIN97-1002     ,4.0,0.0,0.0
NIB854013800690,1.0,0.0,0.0
NIB854014940909,2.0,0.0,0.0
LTHMSBADGE     ,2.0,0.0,0.0
LXL60008MB,4.0,0.0,0.0
LXLL210CH      ,8.0,0.0,0.0
LXLL281MB      ,22.0,0.0,0.0
AAGK4-00       ,1.0,0.0,0.0
AAGK4-50       ,1.0,0.0,0.0
AAGPM10-28     ,1.0,0.0,0.0
BIN97-1007     ,1.0,0.0,0.0
AAGPM12-28     ,43.0,0.0,0.0
XER3R11030     ,50.0,0.0,0.0
NOF213672LPCW,1.0,0.0,0.0
NOF213672LPCW  ,7.0,0.0,0.0
NOF213672RPCW,1.0,0.0,0.0
NOF213672RPCW  ,1.0,0.0,0.0
NOF213672RPMC,1.0,0.0,0.0
NOF31-2136FRPCW,3.0,0.0,0.0
NOF31-2448UPCW ,1.0,0.0,0.0
NOF31-3672LPCW,1.0,0.0,0.0
NOF31-3672RPCW ,1.0,0.0,0.0
NOFNAC1424KT,1.0,0.0,0.0
AAGPM1252-28   ,321.0,0.0,0.0
AAGPM13-28     ,15.0,0.0,0.0
AAGPM1528      ,1.0,0.0,0.0
AAGPM2-28-04   ,34.0,0.0,0.0
AAGPM200-28    ,25.0,0.0,0.0
NPT201181,1.0,0.0,0.0
NOF211572OSCCW ,1.0,0.0,0.0
NOF212436LFCW  ,4.0,0.0,0.0
NOF212448RPCW,2.0,0.0,0.0
NOF212448RPCW  ,3.0,0.0,0.0
LLR60204,3.0,0.0,0.0
LLR60600,4.0,0.0,0.0
LLR60601,4.0,0.0,0.0
LLR60627,4.0,0.0,0.0
LLR80005,45.0,0.0,0.0
LLR81100,24.0,0.0,0.0
LLR84400,16.0,0.0,0.0
LPLMONN21515G,17.0,0.0,0.0
LPLMONN21919G,1.0,0.0,0.0
XER13R544      ,5.0,0.0,0.0
BIN69-3018     ,114.0,0.0,0.0
AAGPM3-28      ,3.0,0.0,0.0
AAGPM300-28    ,4.0,0.0,0.0
NSH751002855995,42.0,0.0,0.0
NSH751014676738,69.0,0.0,0.0
NSH751015026817,3.0,0.0,0.0
LLR60109,3.0,0.0,0.0
LLR60110,3.0,0.0,0.0
LLR60137,4.0,0.0,0.0
LLR60200,1.0,0.0,0.0
LLR60202,1.0,0.0,0.0
AAGPM326-28    ,55.0,0.0,0.0
AAGPM4-28      ,9.0,0.0,0.0
AAGPM430-28    ,6.0,0.0,0.0
AAGPM44-28     ,34.0,0.0,0.0
AAGPM464B-28   ,13.0,0.0,0.0
LLR36841,1.0,0.0,0.0
LLR44119,38.0,0.0,0.0
LLR60054,1.0,0.0,0.0
LLR60090,1.0,0.0,0.0
LLR60091,4.0,0.0,0.0
LLR60095,4.0,0.0,0.0
LLR60096,5.0,0.0,0.0
LLR60097,5.0,0.0,0.0
LLR60105,12.0,0.0,0.0
LLR60106,3.0,0.0,0.0
NSH654514338399,2.0,0.0,0.0
NSH710514588222,10.0,0.0,0.0
NSH751002236807,32.0,0.0,0.0
XER106R373     ,1.0,0.0,0.0
AAGPM600-28    ,2.0,0.0,0.0
AAGPM9-28      ,1.0,0.0,0.0
