vendor_id,quantity,share_pct,vendor_id_plot
EPS,6090.0,0.29146384245063184,EPS
NUD,6030.0,0.2885922775003793,NUD
MEA,6020.0,0.2881136833420039,MEA
CPM,5995.0,0.2869171979460653,CPM
WAU,5952.0,0.284859243065051,WAU
BOR,5428.0,0.2597809091661789,BOR
RIV,5356.0,0.25633503122587586,RIV
BSP,4918.0,0.2353726070890324,BSP
N2K,4630.0,0.22158909532782023,N2K
BIM,4535.0,0.21704245082325374,BIM
DBL,4523.0,0.21646813783320323,DBL
SOY,4505.0,0.2156066683481275,SOY
VER,4442.0,0.21259152515036234,VER
WEV,4428.0,0.21192149332863675,WEV
E2E,4184.0,0.20024379586427643,E2E
DUC,3940.0,0.18856609839991617,DUC
GEO,3927.0,0.1879439259940281,GEO
TOM,3901.0,0.186699581182252,TOM
SNA,3603.0,0.17243747526266445,SNA
LEP,3425.0,0.16391849924358193,LEP
LEX,3395.0,0.16248271676845566,LEX
CHA,3363.0,0.1609512154616543,CHA
VOT,3311.0,0.15846252583810214,VOT
ASG,3276.0,0.15678744628378816,ASG
HUN,3273.0,0.1566438680362755,HUN
LEE,3242.0,0.15516022614531172,LEE
ROA,3155.0,0.15099645696744554,ROA
DEF,3140.0,0.1502785657298824,DEF
STD,3020.0,0.14453543582937736,STD
EGP,2984.0,0.14281249685922584,EGP
LEO,2958.0,0.14156815204744974,LEO
IMN,2892.0,0.13840943060217195,IMN
SAU,2890.0,0.1383137117704969,SAU
DUR,2723.0,0.13032118932562733,DUR
SLT,2622.0,0.1254873883260356,SLT
COX,2592.0,0.12405160585090931,COX
OPS,2516.0,0.1204142902472561,OPS
UNS,2453.0,0.11739914704949093,UNS
SOU,2411.0,0.11538905158431417,SOU
CPA,2329.0,0.11146457948563572,CPA
TEI,2268.0,0.10854515511954563,TEI
TAB,2259.0,0.10811442037700776,TAB
OKI,2184.0,0.10452496418919209,OKI
AKM,2181.0,0.10438138594167946,AKM
AAG,2174.0,0.10404637003081668,AAG
GEP,2168.0,0.10375921353579143,GEP
AOP,2103.0,0.1006483515063512,AOP
WBI,2021.0,0.09672387940767273,WBI
SUG,1976.0,0.09457020569498333,SUG
MFE,1832.0,0.08767844981437725,MFE
HRZ,1818.0,0.08700841799265166,HRZ
FAL,1815.0,0.08686483974513903,FAL
WTB,1670.0,0.07992522444869542,WTB
SOF,1642.0,0.07858516080524425,SOF
JOJ,1508.0,0.0721719990830136,JOJ
CRO,1501.0,0.0718369831721508,CRO
UTC,1501.0,0.0718369831721508,UTC
DTM,1436.0,0.06872612114271055,DTM
RUC,1411.0,0.06752963574677201,RUC
SHR,1359.0,0.06504094612321981,SHR
CKC,1358.0,0.06499308670738227,CKC
BIG,1335.0,0.0638923201431188,BIG
MAS,1333.0,0.06379660131144371,MAS
UMI,1325.0,0.06341372598474337,UMI
DAX,1246.0,0.05963283213357754,DAX
KLF,1201.0,0.05747915842088814,KLF
D2F,1158.0,0.05542120353987383,D2F
CMC,1137.0,0.05441615580728545,CMC
RAY,1087.0,0.05202318501540834,RAY
DOM,1072.0,0.05130529377784521,DOM
ADC,1055.0,0.05049168370860698,ADC
