item,activity,share_pct,cum_share_pct,rank
SPR05721,1398.0,0.0692739711229618,10.682809450991396,89
SPR09100,1397.0,0.06922441892616425,10.752033869917561,90
SPR01408,1387.0,0.06872889695818885,10.82076276687575,91
SPR33-1LB,1374.0,0.06808471839982082,10.888847485275571,92
SPR50603,1361.0,0.06744053984145279,10.956288025117024,93
GEP273-00,1354.0,0.06709367446387,11.023381699580893,94
SPR02160,1338.0,0.06630083931510936,11.089682538896003,95
SAN25005,1333.0,0.06605307833112166,11.155735617227124,96
PAP953-01,1331.0,0.06595397393752657,11.221689591164651,97
ACC72050,1328.0,0.06580531734713395,11.287494908511785,98
BAU67130,1324.0,0.06560710855994378,11.353102017071729,99
ACC72580,1323.0,0.06555755636314625,11.418659573434875,100
SWI35450,1313.0,0.06506203439517085,11.483721607830045,101
